Import/Export Price Indexes,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,EIUIQ,,,,,,,,,,,
Series Title:,"Monthly export price index for BEA End Use, All commodities, not seasonally adjusted",,,,,,,,,,,
Index Type:,BEA End Use Export Indexes,,,,,,,,,,,
Item:,All commodities,,,,,,,,,,,
Base Period:,2000=100,,,,,,,,,,,
Years:,2012 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,132.5,133.1,134.1,134.7,134.0,131.7,132.2,133.4,134.5,134.6,133.8,133.6
2013,134.1,135.1,134.4,133.6,132.9,132.8,132.6,131.9,132.4,131.6,131.8,132.3
2014,132.7,133.7,134.9,133.5,133.7,133.0,133.1,132.4,131.9,130.7,129.5,128.3
2015,126.1,125.9,125.9,125.1,125.7,125.3,124.8,123.0,122.3,122.0,121.1,119.8
2016,118.7,118.2,118.1,118.7,120.0,120.9,121.1,120.1,120.5,120.7,120.8,121.3
2017,121.6,122.0,122.1,122.4,121.7,121.6,122.2,122.9,123.9,124.0,124.6,124.7
2018,125.6,125.8,126.3,126.9,127.8,128.0,127.4,127.3,127.3,127.9,126.9,126.1
2019,125.3,126.1,127.0,127.1,126.7,126.0,126.2,125.5,125.1,125.1,125.2,125.0
2020,125.8,124.3,122.5,118.2,118.2,120.3,121.5,122.1,122.8,123.0,124.0,125.5
2021,128.9,131.0,134.3,135.9,139.0,140.6,142.1,142.4,142.8,145.5,146.5,144.2
2022,148.2,153.0,159.0,160.6,164.9,166.6,160.4,157.8,,,,
